cation	cation_valence	anion	anion_valence	Nc	R0	Rcutoff	D0	Rmin	alpha
C	4	S	-2	3	1.84354	6	4.870252	1.618649	1.727116
Na	1	S	-2	6.52	1.83088	6.5	0.630673	2.916205	1.615509
Mg	2	S	-2	5.897	1.82372	6.5	1.645364	2.457529	1.540832
Al	3	S	-2	5.327	2.05965	6	1.891546	2.302878	1.818182
Si	4	S	-2	4.1	2.09975	6.5	2.948361	2.042192	1.785714
P	5	S	-2	4	2.14917	6	3.939695	1.951558	1.766784
S	6	S	-2	4	2.2	5.5	4.950597	1.896737	1.751313
K	1	S	-2	8.846	2.16803	6.5	0.41168	3.315285	1.745201
Ca	2	S	-2	7.544	2.11148	7	1.098221	2.835405	1.633987
Ga	3	S	-2	4.905	2.12458	6	1.282374	2.268677	2.070393
Ge	4	S	-2	4.305	2.19183	6	2.050539	2.142348	1.945525
As	5	S	-2	4.029	2.27986	6.5	2.850033	2.079575	1.872659
Rb	1	S	-2	10.02	2.30817	6.5	0.325038	3.460253	1.818182
Sr	2	S	-2	9.4	2.26765	7	0.842963	3.081154	1.692047
In	3	S	-2	6.024	2.30797	6	0.92204	2.515464	2.192982
Sn	4	S	-2	6.069	2.36256	6	1.459465	2.466684	2.03252
Sb	5	S	-2	6	2.44254	6	2.058532	2.441945	1.923077
Cs	1	S	-2	11.79	2.52283	6.5	0.249303	3.667187	1.926782
Ba	2	S	-2	10.32	2.44239	7	0.682017	3.267913	1.745201
P	3	S	-2	3	1.96089	6	2.224943	1.859402	1.865672
As	3	S	-2	3	2.20841	6	1.735537	2.095302	1.851852
Sn	2	S	-2	3.325	2.32497	6	0.701776	2.431194	2.087683
Sb	3	S	-2	6	2.36947	6	1.138983	2.597379	1.941748
Tl	1	S	-2	8.03	2.3826	6	0.2208	3.182358	2.197802
Pb	2	S	-2	7.541	2.38758	6	0.567913	2.905146	2.028398
Bi	3	S	-2	6.058	2.41824	6.5	1.048372	2.656656	1.912046
Sc	3	S	-2	6.255	2.0945	7	2.316425	2.475159	1.584786
Ti	4	S	-2	6	2.17452	7	2.897523	2.350525	1.5625
V	5	S	-2	4.166	2.29252	7	3.726229	2.088459	1.545595
#Cr	6	S	-2	4	2.103	6.5	3.780483	2.289947	-1.533742
Ni	2	S	-2	5.933	1.85695	5.5	1.253997	2.288097	2.024291
Cu	2	S	-2	2.56	1.94997	6	1.430321	1.957596	2.04918
Zn	2	S	-2	4.718	1.94373	6	1.485755	2.307582	1.851852
Y	3	S	-2	7.285	2.25923	7	1.797063	2.710781	1.626016
Zr	4	S	-2	6.765	2.26265	7	2.330585	2.500694	1.597444
#Mo	6	S	-2	4.764	2.187	6.5	3.324576	2.251139	-1.560062
Pd	2	S	-2	4	2.02559	5.5	0.921219	2.200028	2.277904
Ag	1	S	-2	4.438	2.11006	5	0.392994	2.520847	2.739726
Cd	2	S	-2	6.176	2.12789	5.5	1.13392	2.614981	1.883239
Lu	3	S	-2	6.83	2.28119	7	1.388246	2.627609	1.795332
Hf	4	S	-2	7.105	2.2355	7	2.057539	2.495677	1.626016
Ta	5	S	-2	6.09	2.2786	6.5	2.543639	2.308695	1.607717
Pt	2	S	-2	4	2.0245	5.5	0.845436	2.178404	2.283105
Hg	2	S	-2	6.966	2.20501	5.5	0.806433	2.66333	2.114165
La	3	S	-2	9.83	2.4033	6.5	1.358302	2.992782	1.70068
Pr	3	S	-2	9.067	2.46496	6	1.017448	2.877435	2.004008
Nd	3	S	-2	8.647	2.44624	6	1.072575	2.851212	1.960784
Ti	3	S	-2	6	2.11813	6	1.415711	2.32404	2.09205
V	4	S	-2	5.738	2.1676	6.5	1.951626	2.233445	1.953125
Fe	2	S	-2	5.743	2.01111	5.5	1.036628	2.368789	2.188184
Nb	4	S	-2	6	2.28012	5.5	1.101045	2.2928	2.427184
Ta	4	S	-2	5.5	2.28935	5.5	1.010309	2.258914	2.439024
V	3	S	-2	6	2.02622	6.5	1.588277	2.25755	2.004008
Cr	3	S	-2	6	2.04397	5.5	1.627769	2.282954	1.968504
Co	2	S	-2	5.506	1.99705	5.5	1.174488	2.374249	2.053388
Ni	3	S	-2	6	1.95763	5.5	1.777739	2.215633	1.912046
Cu	1	S	-2	2.56	1.80744	5	0.704448	2.08186	2.380952
W	4	S	-2	6	2.22672	6	1.050809	2.246646	2.398082
Pt	4	S	-2	6	2.19999	6	1.265783	2.249872	2.183406
Au	1	S	-2	2	2.06404	4.5	0.368405	2.155176	2.923977
V	2	S	-2	6	1.89815	6	1.092053	2.288101	2.169197
Cr	2	S	-2	5.6	1.9093	5.5	1.089919	2.262838	2.183406
Mn	4	S	-2	5.923	2.30057	6	1.997166	2.391923	1.865672
Mo	3	S	-2	5.7	2.06172	6	1.519179	2.283669	1.926782
Re	4	S	-2	6	2.268	6	1.098995	2.294802	2.320186
Mo	2	S	-2	5.5	2.07169	5.5	0.797065	2.349596	2.369668
Mn	2	S	-2	5.91	2.15468	5.5	0.783125	2.474786	2.463054
Re	3	S	-2	6	2.2071	6	0.810667	2.332185	2.493766
Ce	3	S	-2	9.147	2.50404	6	0.968018	2.904365	2.04499
Sm	3	S	-2	8.119	2.4146	6	1.077495	2.782816	1.980198
Eu	3	S	-2	7.743	2.39179	6	1.087691	2.734937	1.988072
Gd	3	S	-2	8.052	2.37028	6	1.280701	2.797353	1.811594
Tb	3	S	-2	7.958	2.36384	6	1.100521	2.724591	1.980198
Dy	3	S	-2	7.828	2.34124	6	1.13993	2.703826	1.953125
Ho	3	S	-2	7.5	2.33798	6	1.190448	2.691208	1.915709
Er	3	S	-2	7.135	2.32366	6	1.220568	2.655055	1.904762
Tm	3	S	-2	6.912	2.3107	6	1.196692	2.615977	1.937984
Yb	3	S	-2	6.875	2.31245	6	1.176666	2.609189	1.956947
Yb	2	S	-2	8	2.40079	6	0.617429	2.834914	2.34192
Eu	2	S	-2	10.111	2.47173	6	0.621323	3.032226	2.257336
Th	4	S	-2	8.941	2.45709	7	1.499684	2.809767	1.727116
Li	1	Se	-2	5.118	1.62021	7	0.88750 	2.68386 	1.461988
A	1	Se	-2	5.118	1.62021	7	0.88750 	2.68386 	1.461988
#Be	2	Se	-2	4	1.7043	7	4.388588	1.163025	-1.412429
#B	3	Se	-2	3.417	1.9187	6	3.152102	1.785319	-1.647446
Na	1	Se	-2	6.52	1.8988	7	0.576407	3.046979	1.538462
#Mg	2	Se	-2	5.897	1.7043	7	4.725019	0.881992	-1.412429
Al	3	Se	-2	5.327	2.17392	6.5	1.73113	2.440109	1.718213
Si	4	Se	-2	4.1	2.23551	5.5	2.133055	2.181429	1.890359
P	5	Se	-2	4	2.43695	7	3.352569	2.231858	1.666667
K	1	Se	-2	8.846	2.29712	7	0.373639	3.51499	1.655629
Ca	2	Se	-2	7.544	2.20285	7	1.001348	2.972826	1.55521
Ga	3	Se	-2	4.905	2.24723	6.5	1.179547	2.40959	1.949318
Ge	4	Se	-2	4.305	2.33264	6	1.868512	2.289073	1.834862
Rb	1	Se	-2	10.02	2.40364	7	0.298431	3.629609	1.724138
Sr	2	Se	-2	9.4	2.36718	7	0.770499	3.2336	1.607717
In	3	Se	-2	6.024	2.43051	6	0.85029	2.661292	2.066116
Sn	4	Se	-2	6.069	2.50725	6	1.335624	2.62763	1.915709
Sb	5	Se	-2	6	2.58978	7	1.880426	2.599348	1.814882
Cs	1	Se	-2	11.79	2.64858	7	0.229573	3.87313	1.818182
Ba	2	Se	-2	10.32	2.51975	7	0.712287	3.476334	1.540832
As	3	Se	-2	3	2.34035	6.5	1.579204	2.229757	1.751313
Sb	3	Se	-2	6	2.47586	6.5	1.055133	2.729272	1.831502
Tl	1	Se	-2	8.03	2.39935	6.5	0.228618	3.317982	1.968504
Pb	2	Se	-2	7.541	2.46755	6.5	0.532474	3.031456	1.908397
Bi	3	Se	-2	6.058	2.54545	7	0.963506	2.808944	1.805054
#Cr	6	Se	-2	4	2.3	7	3.289049	2.501378	-1.464129
Ni	2	Se	-2	5.933	1.89863	6	1.184866	2.368628	1.904762
Cu	2	Se	-2	2.56	2.02888	6	1.339462	2.047631	1.926782
Zn	2	Se	-2	4.718	2.00075	6	1.385461	2.396213	1.751313
#Mo	6	Se	-2	4.764	2.3824	6.5	2.900851	2.455649	-1.488095
Pd	2	Se	-2	4	2.13063	6	0.867507	2.328957	2.123142
Ag	1	Se	-2	4.438	2.17409	5	0.364436	2.619255	2.597403
Cd	2	Se	-2	6.176	2.16209	6.5	1.065618	2.689779	1.782531
Hf	4	Se	-2	7.105	2.37893	7.5	1.839029	2.659792	1.550388
Ta	5	Se	-2	6.09	2.51263	7	2.205338	2.549483	1.529052
Pt	2	Se	-2	4	2.16525	6	0.599859	2.295839	2.457002
Hg	2	Se	-2	6.966	2.25179	6	0.766574	2.754918	1.984127
Pr	3	Se	-2	9.067	2.52676	7	0.956529	2.978932	1.890359
Pd	4	Se	-2	5.333	2.31115	6.5	1.490694	2.336285	1.923077
Ta	4	Se	-2	5.5	2.36128	6	0.895197	2.338963	2.369668
V	3	Se	-2	6	2.13686	6.5	1.464549	2.391889	1.886792
Cr	3	Se	-2	6	2.14649	6	1.503457	2.409792	1.855288
Co	2	Se	-2	5.506	2.10951	6	1.084223	2.519929	1.930502
Cu	1	Se	-2	2.56	1.89561	5.5	0.665431	2.200809	2.217295
Pt	4	Se	-2	6	2.30943	6	1.184141	2.374275	2.04499
Au	1	Se	-2	2	2.17613	4	0.309936	2.270736	2.890173
Mn	2	Se	-2	5.91	2.24751	5.5	0.727927	2.598448	2.320186
Ce	3	Se	-2	9.147	2.52663	7	0.92697	2.970218	1.923077
Er	3	Se	-2	7.135	2.4342	7	1.125706	2.796224	1.798561
Yb	3	Se	-2	6.875	2.42113	7	1.088819	2.7472	1.845018
Yb	2	Se	-2	8	2.62618	7	0.562768	3.098868	2.183406
Th	4	Se	-2	8.941	2.5485	7.5	1.385614	2.932808	1.636661
Li	1	Te	-2	4.333	1.71028	7	0.88544 	2.73313 	1.371742
A	1	Te	-2	4.333	1.71028	7	0.88544 	2.73313 	1.371742
#Be	2	Te	-2	4	1.8497	7	4.022722	1.283697	-1.328021
#B	3	Te	-2	3.417	2.0982	6.5	3.018917	1.965185	-1.517451
Na	1	Te	-2	6.52	2.03011	7	0.549276	3.269608	1.438849
#Mg	2	Te	-2	5.897	1.9497	7	2.962016	1.160853	-1.470588
Al	3	Te	-2	5.327	2.38658	7	1.657011	2.688729	1.582278
K	1	Te	-2	8.846	2.41802	7	0.362353	3.742871	1.540832
#Ca	2	Te	-2	7.544	2.3886	7	2.188266	1.397063	-1.451379
Ga	3	Te	-2	4.905	2.44491	7	1.141133	2.63573	1.792115
Ge	4	Te	-2	4.305	2.57461	7	1.782504	2.540892	1.686341
Rb	1	Te	-2	10.02	2.43463	7.5	0.298622	3.779363	1.597444
#Sr	2	Te	-2	9.4	2.5405	7	1.812178	1.418321	-1.497006
In	3	Te	-2	6.024	2.62278	6.5	0.850959	2.89526	1.872659
Sn	4	Te	-2	6.069	2.73112	7	1.291437	2.877902	1.760563
Cs	1	Te	-2	11.79	2.78226	7.5	0.225509	4.127357	1.680672
Ba	2	Te	-2	10.32	2.68807	7	0.606266	3.65307	1.540832
Ge	2	Te	-2	4.305	2.26937	7	0.842876	2.614722	1.709402
As	3	Te	-2	3	2.48812	7	1.536863	2.385037	1.623377
Sb	3	Te	-2	6	2.73139	7	0.9996	3.018997	1.692047
Tl	1	Te	-2	8.03	2.50518	6	0.213006	3.480158	1.883239
Bi	3	Te	-2	6.058	2.82304	7	0.906776	3.120878	1.669449
Ti	4	Te	-2	6	2.41793	7.5	2.501975	2.639068	1.396648
Cr	6	Te	-2	4	2.609	8	3.737637	2.242906	1.371742
Ni	2	Te	-2	5.933	2.11175	6.5	1.127862	2.632744	1.751313
Zn	2	Te	-2	4.718	2.15126	7	1.333912	2.590758	1.623377
#Mo	6	Te	-2	4.764	2.66	6.5	2.637957	2.749595	-1.3947
Ag	1	Te	-2	4.438	2.34487	5	0.357046	2.845751	2.380952
Cd	2	Te	-2	6.176	2.36683	7	1.017319	2.950242	1.647446
Ta	5	Te	-2	6.09	2.71824	7	2.072226	2.772261	1.430615
Hg	2	Te	-2	6.966	2.37917	7	0.760988	2.945194	1.821494
Cr	3	Te	-2	6	2.30242	6.5	1.461856	2.602311	1.712329
Cu	1	Te	-2	2.56	1.89529	6	0.70548	2.254788	2.012072
Cr	2	Te	-2	5.6	2.18257	6.5	0.991672	2.618827	1.872659
Nb	2	Te	-2	6	2.39087	6	0.598344	2.732389	2.232143
Ta	2	Te	-2	6	2.20689	6	0.966348	2.705968	1.686341
Mn	2	Te	-2	5.91	2.43113	6	0.71114	2.829003	2.12766
Sm	3	Te	-2	8.119	2.71979	7	0.968805	3.173281	1.72117
Li	1	F	-1	5.289	1.08674	6	0.49611 	1.87265 	1.968504
A	1	F	-1	5.289	1.08674	6	0.49611 	1.87265 	1.968504
Be	2	F	-1	4	1.14986	5.5	1.39717	1.4585	1.879699
B	3	F	-1	3.417	1.19909	5	2.625262	1.208508	1.845018
C	4	F	-1	3	1.37249	6	3.759427	1.146081	1.828154
N	5	F	-1	3	1.40717	6	5.156374	1.055975	1.818182
Na	1	F	-1	6.52	1.42885	5.5	0.295862	2.232158	2.109705
Mg	2	F	-1	5.897	1.40956	5.5	0.796133	1.875696	1.984127
Al	3	F	-1	5.327	1.4197	5.5	1.447303	1.64117	1.926782
Si	4	F	-1	4.1	1.45654	5.5	2.362172	1.39289	1.890359
P	5	F	-1	4	1.4761	7	3.28597	1.280179	1.869159
S	6	F	-1	4	1.55	5	2.655352	1.291705	2.267574
K	1	F	-1	8.846	1.83331	5.5	0.176234	2.645968	2.336449
Ca	2	F	-1	7.544	1.71038	5.5	0.498644	2.226693	2.141328
Ga	3	F	-1	4.905	1.56039	5.5	0.922174	1.684414	2.217295
Ge	4	F	-1	4.305	1.57864	5.5	1.567311	1.521889	2.066116
As	5	F	-1	4.029	1.60379	6	2.291271	1.405455	1.988072
Rb	1	F	-1	10.02	1.99137	5.5	0.133404	2.785647	2.475248
Sr	2	F	-1	9.4	1.86817	5.5	0.371198	2.440209	2.242152
In	3	F	-1	6.024	1.75728	5.5	0.626012	1.933906	2.375297
Sn	4	F	-1	6.069	1.75558	5.5	1.051935	1.839948	2.169197
Sb	5	F	-1	6	1.76603	6	1.552674	1.753234	2.04499
Xe	6	F	-1	4	1.86157	6	1.621152	1.565362	2.320186
Cs	1	F	-1	11.79	2.15318	6	0.12472	3.052764	2.336449
Ba	2	F	-1	10.32	2.06475	6	0.289369	2.631527	2.336449
Tl	3	F	-1	5.22	1.857	5.5	0.345633	1.905526	3.076923
Pb	4	F	-1	5.74	1.93428	5.5	0.76278	1.959449	2.358491
Bi	5	F	-1	6	1.86984	5.5	1.137508	1.833638	2.232143
As	3	F	-1	3	1.683	5	0.804158	1.565379	2.463054
Sb	3	F	-1	6	1.83448	5.5	0.634722	1.999054	2.320186
Xe	4	F	-1	4	1.85567	6.5	1.488549	1.712146	1.890359
Tl	1	F	-1	8.03	1.82737	6	0.185412	2.702515	2.03666
Pb	2	F	-1	7.541	1.90916	6	0.360632	2.365394	2.207506
Bi	3	F	-1	6.058	1.93046	5.5	0.53418	2.088603	2.364066
Xe	2	F	-1	4	1.77407	6.5	0.722521	2.0405	1.757469
Sc	3	F	-1	6.255	1.65325	6	1.533224	1.913247	2.061856
Ti	4	F	-1	6	1.6617	5.5	1.659907	1.748926	2.227171
Fe	3	F	-1	5.733	1.63674	5	1.175592	1.791926	2.43309
Co	3	F	-1	6	1.56345	5.5	1.395376	1.753918	2.257336
Ni	2	F	-1	5.933	1.49655	5	1.10969	1.874661	2.212389
Cu	2	F	-1	2.56	1.4953	5.5	1.423726	1.493666	2.188184
Zn	2	F	-1	4.718	1.57447	5	0.925848	1.812843	2.463054
Y	3	F	-1	7.285	1.89262	5.5	0.757641	2.11472	2.638522
Zr	4	F	-1	6.765	1.83174	5.5	1.005776	1.927834	2.57732
Nb	5	F	-1	6.044	1.76034	5.5	1.966109	1.751349	2.04499
Rh	4	F	-1	6	1.68686	5.5	1.224679	1.733553	2.463054
Pd	2	F	-1	4	1.56885	5.5	1.299983	1.793725	1.976285
Ag	1	F	-1	4.438	1.58298	5	0.727114	2.196512	2.008032
Cd	2	F	-1	6.176	1.73948	5.5	0.755986	2.084803	2.403846
Lu	3	F	-1	6.83	1.80738	5.5	0.853953	2.023989	2.427184
Hf	4	F	-1	7.105	1.7752	5.5	1.334791	1.937534	2.132196
Ta	5	F	-1	6.09	1.79011	5.5	1.682167	1.778032	2.096436
Au	3	F	-1	4	1.697	5.5	1.533484	1.706806	1.972387
Hg	2	F	-1	6.966	1.7338	5.5	0.850135	2.187943	2.114165
La	3	F	-1	9.83	1.96577	5.5	0.844511	2.366189	2.257336
